home_team,avg_goals_scored,avg_goals_conceded,total_games,total_wins,total_draws,win_percentage
Afghanistan,1.0232558139534884,2.007751937984496,129,34,30,26.356589147286826
Albania,0.9460916442048517,1.5121293800539084,371,100,80,26.954177897574123
Algeria,1.471326164874552,1.025089605734767,558,245,152,43.90681003584229
American Samoa,0.6739130434782609,6.891304347826087,46,4,1,8.695652173913043
Andorra,0.3284313725490196,2.465686274509804,204,12,26,5.88235294117647
Angola,1.117948717948718,1.0461538461538462,390,131,140,33.589743589743584
Anguilla,0.5454545454545454,4.418181818181818,55,2,6,3.6363636363636362
Antigua and Barbuda,1.4240837696335078,1.8115183246073299,191,64,35,33.50785340314136
Aotearoa New Zealand,1.7205128205128206,1.5333333333333334,390,160,70,41.02564102564102
Argentina,1.8717201166180757,1.0194363459669582,1029,562,253,54.61613216715258
Armenia,1.0080321285140563,1.78714859437751,249,61,53,24.497991967871485
Aruba,1.344,2.448,125,26,24,20.8
Australia,2.019963702359347,1.087114337568058,551,278,117,50.45372050816697
Austria,1.7689530685920578,1.5511432009626955,831,348,179,41.87725631768953
Azerbaijan,0.7552447552447552,1.6398601398601398,286,57,74,19.93006993006993
Bahamas,1.1346153846153846,3.1153846153846154,52,12,8,23.076923076923077
Bahrain,1.2589118198874296,1.2570356472795496,533,190,144,35.647279549718576
Bangladesh,0.8514056224899599,1.9437751004016064,249,59,57,23.694779116465863
Barbados,1.2699619771863118,1.726235741444867,263,86,57,32.69961977186312
Belarus,1.1512027491408934,1.4570446735395188,291,87,72,29.896907216494846
Belgium,1.788957055214724,1.5177914110429447,815,363,173,44.5398773006135
Belize,1.0103092783505154,1.9896907216494846,97,20,17,20.618556701030926
Benin,1.0416666666666667,1.7708333333333333,288,67,73,23.26388888888889
Bermuda,1.4720496894409938,1.7391304347826086,161,50,30,31.05590062111801
Bhutan,0.5909090909090909,3.852272727272727,88,9,6,10.227272727272728
Bolivia,1.034,1.952,500,111,116,22.2
Bosnia and Herzegovina,1.376923076923077,1.353846153846154,260,98,59,37.69230769230769
Botswana,0.8154362416107382,1.2751677852348993,298,79,86,26.51006711409396
Brazil,2.183852140077821,0.8959143968871596,1028,657,206,63.91050583657587
British Virgin Islands,0.8953488372093024,3.0697674418604652,86,15,16,17.441860465116278
Brunei Darussalam,0.7926829268292683,3.5121951219512195,82,13,5,15.853658536585366
Bulgaria,1.3974540311173975,1.4922206506364921,707,256,178,36.20933521923621
Burkina Faso,1.1745283018867925,1.320754716981132,424,142,120,33.490566037735846
Burundi,1.1055276381909547,1.3366834170854272,199,61,47,30.65326633165829
Cabo Verde,1.0618556701030928,1.1391752577319587,194,71,44,36.597938144329895
Cambodia,1.0775510204081633,2.5795918367346937,245,53,33,21.63265306122449
Cameroon,1.3806228373702423,1.041522491349481,578,250,180,43.25259515570934
Canada,1.2617924528301887,1.3278301886792452,424,159,93,37.5
Cayman Islands,0.9666666666666667,2.588888888888889,90,16,15,17.77777777777778
Central African Republic,1.036697247706422,1.926605504587156,109,22,25,20.18348623853211
Chad,0.853448275862069,1.7413793103448276,116,23,27,19.82758620689655
Chile,1.4077306733167083,1.4214463840399003,802,304,173,37.905236907730675
China PR,1.8100649350649352,1.0925324675324675,616,295,140,47.88961038961039
Chinese Taipei,1.2222222222222223,2.570048309178744,207,53,28,25.60386473429952
Colombia,1.224662162162162,1.1554054054054055,592,232,167,39.189189189189186
Comoros,0.8536585365853658,1.475609756097561,82,18,21,21.951219512195124
Congo,1.2564766839378239,1.4041450777202074,386,128,100,33.160621761658035
Congo DR,1.4897540983606556,1.2254098360655739,488,190,133,38.9344262295082
Cook Islands,0.7111111111111111,5.6,45,7,4,15.555555555555555
Costa Rica,1.5890410958904109,1.1750380517503805,657,278,166,42.31354642313546
Cote d'Ivoire,1.6174496644295302,1.0218120805369129,596,298,153,50.0
